Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
13260,Dorei-ku: The Animation,,TV   ,12,TNK,Spring,"Seinen, BDSM, Fetish, Gambling, High Stakes Games, Thriller, Based on a Manga, Mature Themes,, Physical Abuse,, Sexual Abuse",2.96
13261,Viewtiful Joe,,TV   ,51,Group TAC,Fall ,"Action, Adventure, Sci Fi, Based on a Video Game",2.96
13262,Irodorimidori: Tic Tac DREAMIN’,,Music,,,,"Idols, Music",2.96
13263,The Golden Laws, Ougon no Hou: El Cantare no Rekishikan,Movie,,Group TAC,,"Adventure, Christianity, Family Friendly, Greek Mythology, Happy Science, Religion, Time Travel",2.96
13264,Bobobo-bo Bo-bobo,,TV   ,76,Toei Animation,Fall ,"Action, Adventure, Comedy, Sci Fi, Gag, Parody, Superpowers, Based on a Manga",2.96
13265,Legend of the Last Labyrinth, Princess Rouge,OVA  ,2,Frontline,,"Fantasy, Romance, Amnesia, Original Work",2.96
13266,Bakugan Battle Brawlers,,TV   ,51,Japan Vistec,Spring,"Card Battles, Family Friendly, Proxy Battles",2.96
13267,phatmans after school: Sayonara Space Shuttle,,Music,,,,Stop Motion Animation,2.96
13268,Magical Play, Mahou Yuugi 2D,Web  ,22,AIC,,"Comedy, Fantasy, Magical Girl, Henshin Heroes, Magic, Short Episodes, Original Work",2.96
13269,Antique Heart,,OVA  ,1,J.C.Staff,,"Shoujo, School Life, Supernatural, Based on a Manga",2.96
13270,Alice in Dreamland,,Movie,,,,"Fantasy, Abstract, Alice in Wonderland, Person in a Strange World, Stop Motion Animation",2.96
13271,Banana Mura ni Ame ga Furu, Minna no Uta: Banana Mura ni Ame ga Furu,Music,,,,Minna no Uta,2.96
13272,Bronze: Cathexis Koji Nanjo,,OVA  ,1,MADHOUSE,,"Shoujo, Music, Rock Music, Based on a Manga",2.96
13273,Eguchi Hisashi no Kotobuki Gorou Show,,OVA  ,4,Pierrot,,"Comedy, Short Episodes, Based on a Manga",2.96
13274,Dengeki Bunko 2007 Movie Festival Special,,Other,,,,"Comedy, Chibi, Crossover",2.96
13275,Warau Salesman NEW, The Laughing Salesman NEW,TV   ,12,Shin-Ei Animation,Spring,"Comedy, Anime no Me, Episodic, Mysterious Shop, Supernatural, Based on a Manga",2.96
13276,Aware! Meisaku-kun: Oronamin C,,Other,,,,"Comedy, Commercials, Food and Beverage, Promotional",2.96
13277,Show By Rock!! x Joysound,,Web  ,4,,,"Comedy, Animal Characteristics, Chibi, Music, Non-Human Protagonists, Promotional, Sanrio Characters, Short Episodes",2.96
13278,Neko Jockey 2nd Season,,Web  ,4,DLE,Fall ,"Comedy, Animal Protagonists, Cats, Family Friendly, Short Episodes",2.96
13279,Meshimase Lodoss-tou Senki: Sorette Oishii no?,,TV   ,13,Studio DEEN,Spring,"Parody, Short Episodes",2.96
13280,Airy Me,,Movie,,,,"Abstract, Shorts",2.96
13281,siroPd: Kiete ku,,Music,,,,"Black and White, No Dialogue",2.96
13282,YanYan Machiko,,Web  ,11,Kanaban Graphics,Fall ,"Comedy, Slice of Life, Animal Protagonists, Anthropomorphic, Family Friendly, Non-Human Protagonists, Short Episodes, CG Animation",2.96
13283,Billie Eilish: you should see me in a crown,,Music,,,,"Monsters, CG Animation, Violence",2.96
13284,Goichi-jiisan, Old Man Goichi,Movie,,,,"Animal Protagonists, Black and White, Dogs, No Dialogue, Non-Human Protagonists, Shorts",2.96
13285,Love Love?,,TV   ,,IMAGIN,Spring,"Comedy, Ecchi, Harem",2.96
13286,Jam Fish,,Movie,,,,"No Dialogue, Shorts",2.96
13287,Iron Man,,TV   ,12,MADHOUSE,Fall ,"Action, Drama, Sci Fi, Marvel Comics, Robots, Superheroes, Based on a Comic Book",2.96
13288,Wind: A Breath of Heart,,TV   ,13,Radix Ace Entertainment,Summer,"Drama, Romance, Slice of Life, Supernatural, Based on a Visual Novel",2.96
13289,Kihei Senki Legacies,,Web  ,1,,,"Fantasy, Mecha",2.96
13290,Mirai Koushi Harima SACLA,,Other,,Kamikaze Douga,,"Sci Fi, Promotional, Shorts",2.96
