Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
118,Mob Psycho 100,,TV   ,12,Bones,Summer,"Action, Comedy, Exorcists, Overpowered Main Characters, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence",4.33
119,Natsume's Book of Friends Season 6 Specials, Natsume Yuujinchou Roku Specials,DVD S,,Shuka,,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.33
120,Kuroko's Basketball 2, Kuroko no Basket 2,TV   ,25,Production I.G,Fall ,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga",4.33
121,Natsume's Book of Friends Movie: Ephemeral Bond, Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,,Shuka,,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.33
122,Odd Taxi,,TV   ,13,P.I.C.S.,Spring,"Drama, Mystery, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, Social Media, Original Work, Violence",4.32
123,The Legend of Hei,"Alt titles: Luo Xiaohei Zhan Ji Movie, Luo Xiao Hei Zhan Ji Movie",Movie,,,,"Action, Adventure, Fantasy, Animal Characteristics, Animal Transformation, Cats, Chinese Animation, Contemporary Fantasy, Family Friendly, Non-Human Protagonists, Urban Fantasy",4.32
124,Death Note,,TV   ,37,MADHOUSE,Fall ,"Mystery, Shounen, Crime, Criminals, Detectives, Mind Games, Overpowered Main Characters, Psychological, Psychopaths, Rivalries, Secret Identity, Serial Killers, Shinigami, Supernatural, Thriller, Vigilantes, Based on a Manga",4.32
125,Moriarty the Patriot 2nd Season, Yuukoku no Moriarty 2nd Season,TV   ,13,Production I.G,Spring,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga, Violence",4.32
126,Fate/stay night: Heaven's Feel III. spring song,,Movie,,ufotable,,"Action, Fantasy, Romance, Magic, Superpowers, Based on an Eroge, Based on a Visual Novel, Mature Themes,, Suicide,, Violence",4.32
127,One Piece Movie 14: Stampede,,Movie,,Toei Animation,,"Action, Adventure, Shounen, Pirates, Superpowers, Based on a Manga",4.32
128,Kingdom 3,,TV   ,26,St. Signpost,Spring,"Action, Drama, Seinen, Ancient China, Historical, Political, War, Based on a Manga",4.32
129,One Piece,,TV   ,100,Toei Animation,Fall ,"Action, Adventure, Comedy, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga",4.32
130,Mushishi: Hihamukage, Mushishi: Sun-Eating Shade,TV Sp,,Artland,,"Fantasy, Seinen, Countryside, Illness, Supernatural, Based on a Manga",4.32
131,Tokyo Revengers,,TV   ,24,LIDEN FILMS,Spring,"Action, Drama, Shounen, Delinquents, Gangs, Time Travel, Based on a Manga, Mature Themes,, Suicide,, Violence",4.31
132,My Hero Academia Movie 2: Heroes:Rising, Boku no Hero Academia Movie 2: Heroes:Rising,Movie,,Bones,,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga",4.31
133,Fate/Zero 2,,TV   ,12,ufotable,Spring,"Action, Fantasy, Contemporary Fantasy, Magic, Proxy Battles, Rivalries, Superpowers, Urban Fantasy, Based on a Light Novel, Violence",4.31
134,My Hero Academia, Boku no Hero Academia,TV   ,13,Bones,Spring,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Weak to Strong, Based on a Manga, Violence",4.31
135,Steins;Gate Movie: Load Region of Deja Vu, Steins;Gate Movie: Fuka Ryouiki no Deja vu,Movie,,WHITE FOX,,"Drama, Sci Fi, Thriller, Time Travel, Based on a Visual Novel",4.31
136,KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson, Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,,J.C.Staff,,"Comedy, Ecchi, Fantasy, Isekai, NEET, Person in a Strange World, RPG, Based on a Light Novel",4.31
137,Yuri!!! on Ice,,TV   ,12,MAPPA,Fall ,"Drama, Sports, Adult Couples, Ice Skating, Rivalries, Tournaments, Original Work",4.31
138,Dou Po Cangqiong: San Nian Zhi Yao, Battle Through the Heavens: San Nian Zhi Yao,Web  ,12,Motion Magic,,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation",4.31
139,Dororo (2019),,TV   ,24,MAPPA,Winter,"Action, Adventure, Shounen, 15th Century, Curse, Dark Fantasy, Deal with the Devil, Demons, Feudal Japan, Historical, Samurai, Supernatural, War, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Content",4.3
140,Bunny Drop, Usagi Drop,TV   ,11,Production I.G,Summer,"Drama, Josei, Slice of Life, Childcare, Family Life, Iyashikei, Lifestyle Change, noitaminA, Single Parent, Based on a Manga",4.3
141,Gintama: Shinyaku Benizakura-hen, Gintama: The Movie,Movie,,Sunrise,,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Recap, Samurai, Swordplay, Based on a Manga",4.3
142,The Garden of Sinners Movie 5: Paradox Paradigm, Kara no Kyoukai Movie 5: Mujun Rasen,Movie,,ufotable,,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Explicit Violence,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.3
143,Bakuman. 3,,TV   ,25,J.C.Staff,Fall ,"Drama, Shounen, Anime Industry, Manga Industry, Otaku Culture, Voice Acting, Writers, Based on a Manga",4.3
144,The Disastrous Life of Saiki K., Saiki Kusuo no Psi Nan,TV   ,120,J.C.Staff,Summer,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Short Episodes, Supernatural, Superpowers, Based on a Manga",4.3
145,Given: Uragawa no Sonzai,,OVA  ,1,Lerche,,"Music, Based on a Manga",4.3
146,Black Butler: Book of the Atlantic, Kuroshitsuji Movie: Book of the Atlantic,Movie,,A-1 Pictures,,"Shounen, 19th Century, Butlers, Demons, Europe, Master-Servant Relationship, Non-Human Protagonists, Supernatural, Zombies, Based on a Manga, Violence",4.3
147,The Boy and the Beast, Bakemono no Ko,Movie,,Studio Chizu,,"Action, Fantasy, Anthropomorphic, Coming of Age, Isekai, Japanese Mythology, Non-Human Protagonists, Person in a Strange World, Original Work",4.3
148,Miss Kobayashi's Dragon Maid S, Kobayashi-san Chi no Maid Dragon S,TV   ,12,Kyoto Animation,Summer,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Cohabitation, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Reverse Isekai, Roommates, Urban Fantasy, Based on a Manga",4.3
149,Kono Oto Tomare! 2nd Season,,TV   ,13,Platinum Vision,Fall ,"Drama, Romance, Shounen, Music, School Club, School Life, Based on a Manga",4.3
150,The Disappearance of Haruhi Suzumiya, Suzumiya Haruhi no Shoushitsu,Movie,,Kyoto Animation,,"Drama, Sci Fi, Shounen, Psychological, Time Travel, Based on a Light Novel",4.3
151,Kizumonogatari Part 2: Nekketsu, Kizumonogatari Part 2: Nekketsu-hen,Movie,,SHAFT,,"Action, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence",4.29
152,Mushishi Zoku Shou: Suzu no Shizuku, Mushishi -Next Passage- Movie,Movie,,Artland,,"Fantasy, Seinen, Countryside, Forest, Iyashikei, Supernatural, Based on a Manga",4.29
153,Overlord III,,TV   ,13,MADHOUSE,Summer,"Action, Fantasy, Sci Fi, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel",4.29
154,Re:ZERO -Starting Life in Another World- Season 2: Part II, Re:Zero Kara Hajimeru Isekai Seikatsu Season 2: Part II,TV   ,12,WHITE FOX,Winter,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel",4.29
155,Laid-Back Camp 2nd Season, Yuru Camp 2nd Season,TV   ,13,C-Station,Winter,"Adventure, Comedy, Seinen, Slice of Life, Iyashikei, The Great Outdoors, Based on a Manga",4.29
156,Saga of Tanya the Evil Movie, Youjo Senki Movie,Movie,,NUT,,"Action, Fantasy, Guns, Isekai, Military, Person in a Strange World, Reincarnation, War, Based on a Light Novel, Violence",4.29
157,Mushishi Zoku Shou: Odoro no Michi, Mushishi -Next Passage- Path of Thorns,TV Sp,,Artland,,"Fantasy, Seinen, Forest, Iyashikei, Supernatural, Based on a Manga",4.29
158,The Disastrous Life of Saiki K. 3, Saiki Kusuo no Psi Nan: Kanketsu-hen,TV Sp,,J.C.Staff,,"Comedy, Shounen, Breaking the Fourth Wall, Gag, Psychic Powers, Supernatural, Superpowers, Based on a Manga",4.29
159,Hellsing Ultimate,,OVA  ,10,Graphinica,,"Action, Horror, Seinen, Conspiracy, England, Europe, Guns, Master-Servant Relationship, Non-Human Protagonists, Overpowered Main Characters, Religion, Supernatural, Vampires, Based on a Manga, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Suicide",4.29
160,Natsume's Book of Friends Season 5 Specials, Natsume Yuujinchou Go Specials,DVD S,,Shuka,,"Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.29
161,JoJo's Bizarre Adventure Re-Edited,,TV Sp,,David Production,,"Action, Shounen, Hand to Hand Combat, Recap, Supernatural, Based on a Manga",4.28
162,Parasyte -the maxim-, Kiseijuu: Sei no Kakuritsu,TV   ,24,MADHOUSE,Fall ,"Action, Drama, Horror, Sci Fi, Seinen, Aliens, Body Sharing, Psychological, Based on a Manga, Animal Abuse,, Bullying,, Explicit Violence,, Mature Themes",4.28
163,Hikari: Be My Light,,Web  ,,,,"BL, Drama, Shounen-ai, Illness, Psychological, Short Episodes, Mature Themes,, Suicide,, Self-Harm",4.28
164,Ouran High School Host Club, Ouran Koukou Host-bu,TV   ,26,Bones,Spring,"Comedy, Reverse Harem, Romance, Shoujo, Crossdressing, Debt, Hosts, School Club, School Life, Social Gap, Based on a Manga",4.28
165,Food Wars! The Second Plate, Shokugeki no Souma: Ni no Sara,TV   ,13,J.C.Staff,Summer,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, School Life, Tournaments, Based on a Manga",4.28
166,Ghost in the Shell: Stand Alone Complex 2nd Gig, Koukaku Kidoutai: Stand Alone Complex 2nd Gig,TV   ,26,Production I.G,Winter,"Sci Fi, Seinen, Cyberpunk, Cyborgs, Hacking, Noir, Based on a Manga",4.28
167,Barakamon,,TV   ,12,Kinema Citrus,Summer,"Comedy, Shounen, Slice of Life, Art, Countryside, Island, Iyashikei, Lifestyle Change, Based on a Manga",4.28
168,Noragami Aragoto,,TV   ,13,Bones,Fall ,"Action, Drama, Shounen, Ghosts, Gods, Japanese Mythology, Non-Human Protagonists, Supernatural, Based on a Manga, Violence",4.28
169,Ace of the Diamond: Act II, Diamond no Ace: Act II,TV   ,52,MADHOUSE,Spring,"Shounen, Sports, Baseball, Tournaments, Based on a Manga",4.28
170,Re:ZERO -Starting Life in Another World- Season 2, Re:Zero Kara Hajimeru Isekai Seikatsu Season 2,TV   ,13,WHITE FOX,Summer,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel, Explicit Violence",4.28
171,Ascendance of a Bookworm: Part II, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen: Part II,TV   ,12,Ajia-do,Spring,"Drama, Fantasy, Apprenticeship, Cheats, Isekai, Magic, Medieval, Modern Knowledge, Person in a Strange World, Reincarnation, Based on a Light Novel",4.28
172,"Kamisama Kiss: Kamisama, Shiawase ni Naru"," Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA  ,1,TMS Entertainment,,"Comedy, Fantasy, Romance, Shoujo, Japanese Mythology, Master-Servant Relationship, Based on a Manga",4.28
173,Quanzhi Gaoshou: Tebie Pian, The King's Avatar SP,OVA  ,3,Colored Pencil Animation,,"Action, Drama, Chinese Animation, MMORPG, RPG, Tournaments, Based on a Web Novel",4.28
174,Steins;Gate 0,,TV   ,23,WHITE FOX,Spring,"Drama, Mystery, Sci Fi, Psychological, Time Travel, Based on a Visual Novel, Violence",4.28
175,Golden Kamuy Season 3,,TV   ,12,Geno Studio,Fall ,"Action, Adventure, Drama, Historical, Military, Based on a Manga, Violence",4.28
176,Weathering With You, Tenki no Ko,Movie,,CoMix Wave Films,,"Drama, Lifestyle Change, Supernatural, Writers, Original Work",4.27
177,Semantic Error,,Web  ,,,,"BL, Comedy, Romance, Shounen-ai, Korean Animation, Short Episodes, Based on a Novel",4.27
178,86: Eighty-Six - Part II, 86: Eighty-Six - Dai 2 Cour,TV   ,,A-1 Pictures,Fall ,"Action, Drama, Sci Fi, Military, War, Based on a Light Novel, Violence",4.27
179,Dou Po Cangqiong 4th Season, Battle Through the Heavens 4th Season,Web  ,24,Motion Magic,,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation",4.27
180,School Babysitters, Gakuen Babysitters,TV   ,12,Brain's Base,Winter,"Comedy, Drama, Shoujo, Slice of Life, Childcare, Iyashikei, Lifestyle Change, Orphans, School Club, School Life, Siblings, Based on a Manga",4.27
181,Douluo Dalu, Soul Land,Web  ,26,Sparkly Key Animation Studio,,"Action, Fantasy, Chinese Animation, Cultivation, Reincarnation, Xianxia, Based on a Web Novel, CG Animation, Mature Themes,, Suicide",4.27
182,The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B), Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part B),Movie,,ufotable,,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Drug Use,, Explicit Violence,, Mature Themes",4.27
183,Major Season 5,,TV   ,25,Synergy SP,Winter,"Drama, Shounen, Sports, Baseball, Based on a Manga",4.27
184,Bungo Stray Dogs 2nd Season,,TV   ,12,Bones,Fall ,"Action, Mystery, Seinen, Detectives, Gangs, Guns, Mafia, Orphans, Supernatural, Superpowers, Based on a Manga, Violence",4.27
185,Maquia: When the Promised Flower Blooms, Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,,P.A. WORKS,,"Adventure, Drama, Fantasy, Childcare, Original Work, Violence",4.27
186,Steins;Gate: Egoistic Poriomania, Steins;Gate: Oukoubakko no Poriomania,DVD S,,WHITE FOX,,"Comedy, Sci Fi, America, Based on a Visual Novel",4.27
187,Mushishi,,TV   ,26,Artland,Fall ,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga",4.27
188,The Stranger by the Shore,"Alt titles: L'Étranger de la Plage, Umibe no Étranger",Movie,,Studio Hibari,,"BL, Romance, Yaoi, Adult Couples, Cohabitation, Death of a Loved One, Island, LGBT Themes, Mature Romance, Orphans, Writers, Based on a Manga, Explicit Sex",4.27
189,One Piece Movie 10: Strong World,,Movie,,Toei Animation,,"Action, Adventure, Fantasy, Shounen, Island, Pirates, Superpowers, Based on a Manga",4.27
190,Food Wars! The Third Plate, Shokugeki no Souma: San no Sara,TV   ,12,J.C.Staff,Fall ,"Comedy, Ecchi, Shounen, Boarding House, Cooking, Culinary School, Food and Beverage, Neighbors, School Life, Tournaments, Based on a Manga",4.27
191,Kuroko's Basketball: Last Game, Kuroko no Basket: Last Game,Movie,,Production I.G,,"Shounen, Sports, Basketball, Based on a Manga",4.26
192,Tengen Toppa Gurren Lagann, Gurren Lagann,TV   ,27,GAINAX,Spring,"Action, Adventure, Comedy, Mecha, Sci Fi, Combining Mecha, Post-apocalyptic, Super Robot, Original Work, Violence",4.26
193,Kamisama Kiss, Kamisama Hajimemashita,TV   ,13,TMS Entertainment,Fall ,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Gods, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Youkai, Based on a Manga",4.26
194,Moriarty the Patriot, Yuukoku no Moriarty,TV   ,11,Production I.G,Fall ,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga",4.26
195,Kuroko's Basketball: The Greatest Present, Kuroko no Basket: Saikou no Present Desu,DVD S,,Production I.G,,"Shounen, Sports, Basketball, Based on a Manga",4.26
196,Kaguya-sama: Love Is War, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV   ,12,A-1 Pictures,Winter,"Comedy, Drama, Romance, Seinen, Episodic, Love Confession, Mind Games, Romantic Comedy, School Life, Student Council, Based on a Manga",4.26
197,Food Wars! Shokugeki no Souma, Shokugeki no Souma,TV   ,24,J.C.Staff,Spring,"Comedy, Ecchi, Shounen, Animeism, Boarding House, Cooking, Culinary School, Food and Beverage, Neighbors, School Life, Based on a Manga",4.26
198,Mushoku Tensei: Jobless Reincarnation, Mushoku Tensei: Isekai Ittara Honki Dasu,TV   ,11,Studio Bind,Winter,"Action, Adventure, Fantasy, Romance, Demons, Isekai, Magic, NEET, Person in a Strange World, Reincarnation, Based on a Light Novel, Bullying,, Mature Themes,, Sexual Content,, Violence",4.26
199,Snow White with the Red Hair 2nd Season, Akagami no Shirayuki-hime 2nd Season,TV   ,12,Bones,Winter,"Drama, Fantasy, Romance, Shoujo, Adult Couples, Mature Romance, Medical, Medieval, Royalty, Social Gap, Based on a Manga",4.26
200,JoJo's Bizarre Adventure: Stardust Crusaders, JoJo no Kimyou na Bouken: Stardust Crusaders,TV   ,24,David Production,Spring,"Action, Adventure, Shounen, Monster-of-the-week, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes",4.26
201,Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends: Itsuka Yuki no Hi ni,OVA  ,1,Brain's Base,,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.26
202,Detective Conan: Episode One - The Great Detective Turned Small, Detective Conan Episode One: Chiisakunatta Meitantei,TV Sp,,TMS Entertainment,,"Action, Drama, Mystery, Age Transformation, Amusement Park, Detectives, Recap, Based on a Manga, Violence",4.26
203,No Game No Life,,TV   ,12,MADHOUSE,Spring,"Adventure, Ecchi, Fantasy, High Stakes Games, Isekai, NEET, Overpowered Main Characters, Person in a Strange World, PVP, Royalty, Siblings, Based on a Light Novel",4.26
204,Chihayafuru 2,,TV   ,25,MADHOUSE,Winter,"Drama, Josei, Romance, Sports, Love Triangle, School Club, School Life, Tournaments, Based on a Manga",4.25
205,Gintama: Yorinuki Gintama-san on Theater 2D,,Other,,Sunrise,,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Parody, Samurai, Swordplay, Based on a Manga",4.25
206,Legend of the Galactic Heroes, Ginga Eiyuu Densetsu,OVA  ,11,Magic Bus,,"Drama, Sci Fi, Military, Outer Space, Political, Rivalries, Space Opera, War, Based on a Novel, Explicit Violence,, Nudity",4.25
207,The Quintessential Quintuplets 2, 5-toubun no Hanayome ∬,TV   ,12,Bibury Animation Studios,Winter,"Comedy, Drama, Harem, Romance, Shounen, School Life, Siblings, Tutors, Based on a Manga",4.25
208,Black Butler: Book of Murder, Kuroshitsuji: Book of Murder,OVA  ,2,A-1 Pictures,,"Mystery, Shounen, 19th Century, Butlers, Demons, England, Europe, Master-Servant Relationship, Non-Human Protagonists, Supernatural, Based on a Manga",4.25
209,Yuri!!! on Ice: Welcome to The Madness,,DVD S,,MAPPA,,"Sports, Ice Skating, Original Work",4.25
210,My Neighbor Totoro, Tonari no Totoro,Movie,,Studio Ghibli,,"Fantasy, Slice of Life, Contemporary Fantasy, Countryside, Family Friendly, Family Life, Japanese Mythology, Non-Human Protagonists, Siblings, Original Work",4.25
211,Food Wars! The Third Plate: Totsuki Train Arc, Shokugeki no Souma: San no Sara - Toutsuki Ressha,TV   ,12,J.C.Staff,Spring,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, School Life, Tournaments, Based on a Manga",4.25
